id,floor,roomname,loc1,loc2,loceam,log_user,hostname,serial_number,processor,windows_version,windows_display_version,windows_install_date,manufacturer,model,total_ram,num_ram_slots,ram_per_slot,ram_speed,ram_type,ip_address,mac_address,office_name,office_version,citrix_name,citrix_version,status,taskfor,total_hdd_capacity,drive_types,timestamp
4,P2,Pod,POD_40,G,,m.hamto,MLASHP00274,3WS3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.148,C025.A5C8.07FE,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:01
5,P2,Pod,POD_40,E,,m.hamto,MLASHP00159,8LR91N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.136,A4BB.6D97.60DA,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:04
6,P2,Pod,POD_40,C,,m.hamto,MLASHP00317,1MR91N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.95.78,A4BB.6D97.3666,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:10
7,P2,Pod,POD_39,D,,M.HAMTO,MLASHP00719,8CC046066M,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G5 Desktop Mini,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.107,F80D.AC1C.EE6D,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/26/2025 6:12
8,P2,Pod,POD_39,E,,m.hamto,MLASHP00041,8CC0250FF2,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G5 Desktop Mini,16.00 GB,2,8.00 GB > 8.00 GB,2667 MHz,DDR4,10.16.92.212,BCE9.2F84.AE86,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/26/2025 6:12
9,P2,Pod,POD_39,G,,m.hamto,MLASHP00312,D5N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.194,C025.A5C7.905A,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:18
10,P2,Pod,POD_38,A,,m.hamto,MLASHP00328,8CC9220JH2,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G4 DM 65W,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.126,80E8.2C11.A6E9,,,Not found,Not found,ACTIVE,RAM As Is,,,7/26/2025 6:17
11,P2,Pod,POD_38,B,,m.hamto,MLASHP00535,FTH14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.95.55,A4BB.6D97.84C0,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:26
12,P2,Pod,POD_38,C,,m.hamto,MLASHP00504,GPH14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.195,A4BB.6D97.413C,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:27
13,P2,Pod,POD_38,E,,m.hamto,MLASHP00339,8CC9325F5J,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G4 DM 65W,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.212,F8B4.6AAC.913A,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:29
14,P2,Pod,POD_38,F,,m.hamto,MLASHP00117,5FTQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.132,A4BB.6D96.DD68,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:34
15,P2,Pod,POD_38,G,,m.hamto,MLASHP00264,1CN3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.115,C025.A5C7.9086,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 6:35
16,P2,Pod,POD_38,D,,m.hamto,MLASHP00505,CQH14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.214,A4BB.6D96.3BF1,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/26/2025 6:51
18,P2,Pod,POD_37,F,,c.monarca,MLASHP00310,3TS3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.201,C025.A5C8.696A,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 17:37
